mata_kuliah_id,kd_kuliah,th_kur,sks,nama
47140,FI3131,2024,3,Fisika dan Teknologi Material Maju
47158,FI4001,2024,3,Fisika Zat Padat
47160,FI4003,2024,2,Penyelesaian Problem dalam Fisika
47161,FI4002,2024,3,Fisika Inti dan Partikel
47162,FI3205,2024,2,Scientific Communication
47163,FI4011,2024,2,Kapita Selekta Fisika Teoretik
47166,FI4091,2024,3,Proposal Tugas Akhir
47167,FI4092,2024,3,Tugas Akhir
47168,FI4121,2024,3,Sintesis dan Fungsionalisasi Material
47173,FI4191,2024,2,Topik Khusus Transisi Energi
47225,FI4131,2024,3,Divais Elektronik dan Optoelektronik
47575,WI2022,2024,2,Manajemen Proyek
48685,TK5101,2024,4,Teknik Reaksi Kimia Lanjut
48746,TK5012,2024,4,Pengelolaan Energi
48922,TK5103,2024,4,Rancangan Percobaan Statistik
48924,TK5201,2024,4,Peristiwa Perpindahan Lanjut
49355,TK5030,2024,4,Konversi Termal Biomassa
52599,TK6097,2024,2,Sidang Magister
54030,TK5032,2024,4,Topik Topik Pilihan Rekayasa Proses
52609,TK5093,2024,3,Proposal Karya Tulis
48688,TK6091,2024,2,Diseminasi Hasil Penelitian
52607,TK6094,2024,2,Penulisan Karya Tulis
51513,TK5091,2024,3,Metodologi Penelitian
47113,FI3271,2024,3,Analisis Data dengan Mesin Pembelajaran
47117,FI2201,2024,3,Fisika Matematik II
47170,FI4141,2024,3,Termal Hidrolik dan Keselamatan Nuklir
47106,FI1101,2024,3,Fisika Dasar I
47107,FI2104,2024,3,Elektronika Analog dan Digital
47108,FI1201,2024,3,Fisika Dasar IIA
47118,FI2202,2024,4,Medan Elektromagnetik
47122,FI2211,2024,2,Teori Relativitas Khusus
47124,FI2251,2024,2,Biofisika
47126,FI2205,2024,3,Sistem Instrumentasi dan Metode Pengukuran
47127,FI2291,2024,2,Energi dan Lingkungan
47139,FI3221,2024,3,Teori dan Aplikasi Fotonik
47154,FI3251,2024,2,Fisika Radiologi diagnostik dan intervensional
47145,FI3206,2024,2,Fisika dalam Sistem Biologi
47141,FI3141,2024,3,Aplikasi dan Instrumentasi Nuklir
47216,FI2206,2024,2,"Fisika, Teknologi dan Masyarakat"
47146,FI3202,2024,3,Fisika Statistik
47147,FI3204,2024,2,Eksperimen Pengantar Penelitian Fisika
47149,FI3211,2024,2,Teori Grup dalam Fisika
47152,FI3241,2024,3,Fisika Reaktor Nuklir
47153,FI3242,2024,3,Manajemen Bahan Bakar Nuklir
47155,FI3252,2024,1,Praktikum Fisika Medis
47165,FI3291,2024,3,Konversi dan Sustainabilitas Energi
47171,FI4253,2024,2,Anatomi dan Fisiologi
47172,FI3272,2024,3,Sistem Instrumentasi Cerdas
47215,FI1204,2024,1,Laboratorium Fisika Dasar II
47223,FI4221,2024,3,Optika Kuantum dan Teknologinya
47123,FI2221,2024,2,Pengantar Teknologi Optika dan Magnetika
47150,FI3222,2024,2,Teknik Karakterisasi Material
47218,FI3103,2024,3,Metode Komputasi
47221,FI3121,2024,2,Fisika Material untuk Energi Terbarukan
47222,FI4122,2024,3,Metode Kuantum untuk Material
47110,FI2101,2024,3,Fisika Matematik I
47164,FI4241,2024,2,Topik Khusus Fisika Nuklir
47217,FI3102,2024,4,Gelombang
47312,FI3231,2024,3,Pengantar Aplikasi Energi Material Maju
47313,FI2231,2024,3,Pengantar Sains dan Teknologi Nanomaterial
47314,FI2151,2024,2,"Pemodelan, Generator Data, dan Analisisnya"
47315,FI3263,2024,2,Kecerdasan Buatan dan Nonlinearitas Bumi
47316,FI4152,2024,2,Fisika Kedokteran Nuklir
47317,FI4172,2024,2,Topik Khusus Sains Data Fisika
47121,FI2204,2024,2,Eksperimen Elektromagnetika dan Termodinamika
48835,TK5028,2024,4,Katalis dan Katalisis
48935,TK5203,2024,4,Proses Transfer
49003,TK5027,2024,4,Rekayasa Hidrokarbon Terbarukan
49024,TK5202,2024,4,Analisis Proses Teknik Kimia Lanjut A
48743,TK5009,2024,4,Analisis & Troubleshooting Sistem Proses
48744,TK5010,2024,4,Kapita Selekta Perancangan Produk Kimia
47137,FI3104,2024,2,Eksperimen Fisika Modern dan Optika
48933,TK5104,2024,4,Pemanfaatan Data Pabrik Kimia
52608,TK6095,2024,6,Tesis Magister berbasis Proyek
52606,TK6096,2024,6,Tesis Magister berbasis Riset
52610,TK6092,2024,6,Penulisan Makalah
47143,FI3172,2024,3,Komputasi Granular dan Sistem Fisis
47159,FI3203,2024,2,Simulasi dan Pemodelan Sistem Fisis
48735,TK5001,2024,4,Sains dan Teknologi Polimer
48736,TK5002,2024,4,Rekayasa Fotoelektrokimia dan Fotokatalitik
48745,TK5011,2024,4,Intensifikasi Proses dan Produksi Hidrogen
48782,TK5013,2024,4,Topik  Topik Pilihan Pemodelan Sistem Proses
49025,TK5204,2024,4,Analisis Proses Teknik Kimia Lanjut B
53601,FI2281,2024,3,Fisika Elektromagnetik
